PID  PPID STAT    RSS COMM
  893     1 Ss     1168 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1015   749 S      9856 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
 1017     1 Ss     1872 automountd
 1033     1 Ss     1952 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
 1219     1 S      7408 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
 1229     1 S      5104 /usr/libexec/SidecarRelay
 1234     1 S     12016 /System/Library/PrivateFrameworks/HearingCore.framework/heard
 1235     1 S      8512 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1236     1 S     11120 /Users/panda/.local/bin/no-mistakes
 1241     1 S      2880 /System/Library/Image Capture/Support/icdd
 1245     1 S      7456 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent
 1247     1 S      6192 /System/Library/CoreServices/diagnostics_agent
 1249     1 S      9488 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
 1252     1 S      2880 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1270     1 S     52288 /Applications/PastePal.app/Contents/MacOS/PastePal
 1274     1 S     51968 /Applications/Stats.app/Contents/MacOS/Stats
 1347  1277 Ss    38240 /Users/panda/.nvm/versions/node/v24.19.0/bin/node
 1532     1 S      2000 /usr/sbin/distnoted
 1739  1236 S     10432 /Users/panda/.local/bin/no-mistakes
 1791     1 S      8256 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
 1799     1 Ss     2112 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
 1800     1 Ss    14112 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
 1810     1 SN     8880 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
